Year,DIM_1,TechnicalLT
2020,1,25
2020,2,25
2020,3,25
2020,4,25
2020,5,25
2020,6,25
2020,7,80
2020,8,40
2020,9,40
2020,10,40
2020,11,60
2020,12,40
2020,13,40
2020,14,40
2020,15,40
2020,16,40
2020,17,40
2020,18,40
2020,19,40
2020,20,40
2020,21,40
2020,22,40
2020,23,40
2020,24,40
2020,25,40
2020,26,40
2020,27,40
2020,28,40
2020,29,40
2020,30,40
2020,31,40
2020,32,40
2020,33,40
2020,34,40
2050,1,33
2050,2,33
2050,3,28
2050,4,30
2050,5,30
2050,6,25
2050,7,80
2050,8,40
2050,9,40
2050,10,40
2050,11,60
2050,12,40
2050,13,40
2050,14,40
2050,15,40
2050,16,40
2050,17,40
2050,18,40
2050,19,40
2050,20,40
2050,21,40
2050,22,40
2050,23,40
2050,24,40
2050,25,40
2050,26,40
2050,27,40
2050,28,40
2050,29,40
2050,30,40
2050,31,40
2050,32,40
2050,33,40
2050,34,40
