time,source,scenario,type_data,unit,region,category,technology,sub_technology,value
2017,IRENA,historic,stock,GWh,World,total,,,4670
2017,IRENA,historic,stock,GWh,World,grid_scale_storage,PHS,,4508
2017,IRENA,historic,stock,GWh,World,stationary_storage,,,162
2030,IRENA,REmap_Doubling_min,stock,GWh,World,total,,,11889
2030,IRENA,REmap_Doubling_min,stock,GWh,World,grid_scale_storage,PHS,,6068
2030,IRENA,REmap_Doubling_min,stock,GWh,World,stationary_storage,,,5821
2030,IRENA,REmap_Doubling_max,stock,GWh,World,total,,,15274
2030,IRENA,REmap_Doubling_max,stock,GWh,World,grid_scale_storage,PHS,,6848
2030,IRENA,REmap_Doubling_max,stock,GWh,World,stationary_storage,,,8426
2015,Deetman_2021,SSP2_BL,stock,GWh,World,total,,,80
2050,Deetman_2021,SSP2_BL,stock,GWh,World,total,,,450
2050,Deetman_2021,SSP2_BL,stock,GWh,World,grid_scale_storage,PHS,,250
2050,Deetman_2021,SSP2_BL,stock,GWh,World,grid_scale_storage,battery,,200
2050,Deetman_2021,SSP2_BL,stock,GWh,World,v2g,battery,,20
2050,Deetman_2021,SSP2_2D,stock,GWh,World,total,,,1450
2050,Deetman_2021,SSP2_2D,stock,GWh,World,grid_scale_storage,PHS,,600
2050,Deetman_2021,SSP2_2D,stock,GWh,World,grid_scale_storage,battery,,600
2050,Deetman_2021,SSP2_2D,stock,GWh,World,v2g,battery,,250
2040,IEA,SDS,stock,GWh,World,total,,,10000
2100,Blakers_et_al,potential,stock,GWh,World,grid_scale_storage,PHS,,23000000

