,China,Europe,Japan,Middle East,Non Producers,North America,Oceania,Other Asia,Other Producers,South America
1970,196000,2766000,950000,49000,351000,3417000,35000,291000,1915000,423000
1971,221000,2684000,1030000,76000,271000,3778000,103000,282000,2075000,495000
1972,262000,2789000,1269000,93000,244000,4337000,126000,293000,2191000,612000
1973,289000,2896000,1675000,106000,279000,5080000,159000,399000,2246000,687000
1974,339000,2813000,1372000,148000,397000,4724000,247000,384000,2902000,714000
1975,363000,2812000,1210000,252000,457000,3460000,185000,442000,3019000,632000
1976,440000,2851000,1588000,286000,477000,4369000,226000,387000,3144000,709000
1977,465000,2851000,1429000,353000,514000,4672000,228000,447000,3093000,792000
1978,504000,3012000,1676000,391000,565000,4921000,235000,520000,3131000,842000
1979,616000,3046000,1773000,317000,615000,4969000,200000,575000,3267000,929000
1980,560000,3052000,1729000,451000,723000,4304000,211000,483000,3428000,838000
1981,591000,3130000,1446000,547000,817000,4434000,302000,377000,3344000,759000
1982,639000,3289000,1599000,567000,795000,3965000,269000,435000,3414000,770000
1983,669000,3547000,1746000,604000,713000,4813000,265000,453000,3338000,790000
1984,717000,3638000,1619000,433000,689000,5300000,295000,541000,3458000,806000
1985,785000,3799000,1901000,420000,675000,5433000,334000,504000,3597000,808000
1986,797000,4205000,1820000,281000,534000,5611000,309000,512000,3580000,905000
1987,802000,4457000,1983000,303000,544000,5906000,354000,660000,3500000,943000
1988,797000,4728000,2589000,281000,548000,5878000,381000,687000,3464000,912000
1989,866000,4840000,2742000,288000,494000,5780000,381000,988000,3672000,836000
1990,945000,5071000,2683000,204000,531000,5653000,328000,1009000,3465000,864000
1991,1136000,5236000,2908000,479000,580000,5427000,266000,1074000,3196000,910000
1992,1407000,5346000,2671000,500000,656000,5883000,307000,1101000,2137000,971000
1993,1655000,5376000,2467000,490000,745000,6321000,410000,1230000,1504000,1090000
1994,1899000,5364000,2718000,584000,822000,7119000,416000,1419000,1309000,1248000
1995,2278000,5648000,2832000,516000,824000,7043000,379000,1555000,1323000,1260000
1996,2317000,5601000,2975000,547000,924000,7240000,188000,1734000,1400000,1297000
1997,2483000,5788000,3017000,637000,857000,7692000,424000,1819000,1458000,1562000
1998,2818000,6178000,2612000,698000,914000,8176000,421000,1317000,1519000,1716000
1999,3710000,6082000,2693000,891000,899000,8848000,462000,1489000,1588000,1768000
2000,3602000,6720000,2397000,950000,906000,9016000,516000,1937000,1633000,1830000
2001,5099000,7194000,2254000,1074000,1091000,9055000,577000,2174000,1923000,1790000
2002,6169000,7328000,2226000,1036000,1333000,9554000,686000,1884000,2185000,1632000
2003,7333000,7870000,2313000,1107000,1377000,10317000,681000,2805000,2236000,1550000
2004,6980000,8668000,2451000,1224000,1417000,11964000,743000,2744000,2378000,1595000
2005,8030000,8952000,2297000,1624000,1713000,11367000,778000,3130000,2647000,1870000
2006,9077000,9567000,2545000,1625000,1915000,11831000,796000,3448000,2965000,1960000
2007,9415000,11150000,2453000,1783000,1833000,10680000,690000,3610000,3406000,2147000
2008,11598000,9721000,2529000,2226000,2268000,9780000,738000,4593000,3353000,2229000
2009,14303000,7761000,2083000,2056000,2107000,7959000,699000,5057000,2406000,1959000
2010,15200000,9964000,2291000,1919000,3151000,9168000,866000,6882000,2631000,2475000
2011,16638000,10993000,2281000,2138000,3488000,9717000,749000,7861000,3216000,2681000
2012,18973000,10093000,2332000,2002000,3333000,10833000,597000,9179000,3376000,2715000
2013,20394000,9958000,2605000,2175000,4065000,11284000,1034000,8155000,3649000,2676000
2014,21715000,10522000,2584000,2398000,4056000,12156000,680000,8723000,3829000,2631000
