year,variable,region,value
2020,Energy Service|Transportation|Freight,Canada,74613.2555053999
2020,Energy Service|Transportation|Freight,Central Europe,41339.20412062806
2020,Energy Service|Transportation|Freight,China,14986.067196585727
2020,Energy Service|Transportation|Freight,India,2328.151150075158
2020,Energy Service|Transportation|Freight,Japan,40113.44183550934
2020,Energy Service|Transportation|Freight,Latin America,10001.163789087921
2020,Energy Service|Transportation|Freight,Middle East and Northern Africa,12891.815295446313
2020,Energy Service|Transportation|Freight,Other Asia,11245.877945467117
2020,Energy Service|Transportation|Freight,Other OECD,20347.84116246598
2020,Energy Service|Transportation|Freight,Reforming Economies,9437.54318662985
2020,Energy Service|Transportation|Freight,Subsaharan Africa,2435.431732468596
2020,Energy Service|Transportation|Freight,USA,45546.55267873621
2020,Energy Service|Transportation|Freight,Western Europe,82352.13950886836
2020,Energy Service|Transportation|Passenger,Canada,32964.96502520144
2020,Energy Service|Transportation|Passenger,Central Europe,13657.888178117471
2020,Energy Service|Transportation|Passenger,China,6933.187602167614
2020,Energy Service|Transportation|Passenger,India,2025.9426648916096
2020,Energy Service|Transportation|Passenger,Japan,14555.494519532947
2020,Energy Service|Transportation|Passenger,Latin America,7311.983116589114
2020,Energy Service|Transportation|Passenger,Middle East and Northern Africa,8485.910505607344
2020,Energy Service|Transportation|Passenger,Other Asia,3903.2886340577325
2020,Energy Service|Transportation|Passenger,Other OECD,11253.3762176956
2020,Energy Service|Transportation|Passenger,Reforming Economies,13470.535857439938
2020,Energy Service|Transportation|Passenger,Subsaharan Africa,2055.681252290153
2020,Energy Service|Transportation|Passenger,USA,33604.0149787761
2020,Energy Service|Transportation|Passenger,Western Europe,16694.727816312567
2060,Energy Service|Transportation|Freight,Canada,104575.00084056101
2060,Energy Service|Transportation|Freight,Central Europe,72230.3004235959
2060,Energy Service|Transportation|Freight,China,27603.63201849687
2060,Energy Service|Transportation|Freight,India,6002.820742951057
2060,Energy Service|Transportation|Freight,Japan,58333.48157917298
2060,Energy Service|Transportation|Freight,Latin America,20062.02268489922
2060,Energy Service|Transportation|Freight,Middle East and Northern Africa,16216.997763704343
2060,Energy Service|Transportation|Freight,Other Asia,19087.654119773353
2060,Energy Service|Transportation|Freight,Other OECD,36693.729432246284
2060,Energy Service|Transportation|Freight,Reforming Economies,16171.72518142992
2060,Energy Service|Transportation|Freight,Subsaharan Africa,4505.331031071889
2060,Energy Service|Transportation|Freight,USA,62011.61983320266
2060,Energy Service|Transportation|Freight,Western Europe,114979.45136654793
2060,Energy Service|Transportation|Passenger,Canada,44998.800185522174
2060,Energy Service|Transportation|Passenger,Central Europe,23527.62448924832
2060,Energy Service|Transportation|Passenger,China,19245.714988876618
2060,Energy Service|Transportation|Passenger,India,9138.888156131006
2060,Energy Service|Transportation|Passenger,Japan,23930.39621640435
2060,Energy Service|Transportation|Passenger,Latin America,15374.963091709853
2060,Energy Service|Transportation|Passenger,Middle East and Northern Africa,17723.97297555936
2060,Energy Service|Transportation|Passenger,Other Asia,11044.459622918575
2060,Energy Service|Transportation|Passenger,Other OECD,22081.90876347707
2060,Energy Service|Transportation|Passenger,Reforming Economies,19139.43492710047
2060,Energy Service|Transportation|Passenger,Subsaharan Africa,5942.289864867534
2060,Energy Service|Transportation|Passenger,USA,42622.03479558073
2060,Energy Service|Transportation|Passenger,Western Europe,28287.281231726916
